id,name,price,category,subcategory,image,unit,stock,providerPrice
p-plazas-126061,CAMBUR X KG,1,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24047kg_2.jpg,1 Unidad,50,0.7
p-plazas-126120,PAPAS X KG,3,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24221kg_2.jpg,1 Unidad,50,2.0999999999999996
p-plazas-126151,TOMATES PERITA X KG,3,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24279kg_2.jpg,1 Unidad,50,2.0999999999999996
p-plazas-136439,CEBOLLA CRIOLLA X KG,2,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24052kg.jpg,1 Unidad,50,1.4
p-plazas-126098,LECHOSA X KG,1,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24166kg_2.jpg,1 Unidad,50,0.7
p-plazas-126160,ZANAHORIAS X KG,2,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24299kg.jpg,1 Unidad,50,1.4
p-plazas-126100,LIMONES X KG,4,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24174kg_2.jpg,1 Unidad,50,2.8
p-plazas-126060,CALABACINES X KG,1,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24046kg_2.jpg,1 Unidad,50,0.7
p-plazas-149644,PIMENTON ROJO X KG,5,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24378.jpg,1 Unidad,50,3.5
p-plazas-126132,PIÑA X UN,2,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24246un.jpg,1 Unidad,50,1.4
p-plazas-126105,MANGO INJERTO X KG,1,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24186kg_2.jpg,1 Unidad,50,0.7
p-plazas-126139,REPOLLO BLANCO X KG,1,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24256kg_2.jpg,1 Unidad,50,0.7
p-plazas-126127,PEPINOS X KG,1,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/4/24235kg_2.jpg,1 Unidad,50,0.7
p-plazas-125210,FLORES DE BROCOLI VIMA CONGELADAS 450G,6,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004614un.jpg,1 Unidad,50,4.199999999999999
p-plazas-125209,ESPARRAGOS VERDES VIMA CONGELADOS 450G,12,frutas-vegetales,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/0/20004613un.jpg,1 Unidad,50,8.399999999999999
p-plazas-144343,CARNE MOLIDA SV,9,refrigerados-congelados,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/2/22357kg.jpg,1 Unidad,50,6.3
p-plazas-125941,PULPA NEGRA SV,12,refrigerados-congelados,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/2/22372kg.jpg,1 Unidad,50,8.399999999999999
p-plazas-125858,PECHUGA DE POLLO SIN HUESO X KG,8,refrigerados-congelados,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/2/22079kg.jpg,1 Unidad,50,5.6
p-plazas-125914,CARNE PARA DESMECHAR SV,9,refrigerados-congelados,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/2/22297kg.jpg,1 Unidad,50,6.3
p-plazas-119503,HUEVOS CARTON X 30UN,7,refrigerados-congelados,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/1/0/10011538ca_1.jpg,1 Unidad,50,4.8999999999999995
p-plazas-136433,MUSLOS DE POLLO X KG,4,refrigerados-congelados,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/2/22143kg_3.jpg,1 Unidad,50,2.8
p-plazas-144342,SOLOMO DE CUERITO SV,13,refrigerados-congelados,,https://vallearriba.elplazas.com/media/catalog/product/cache/e926df59b390f349ec392e74078e379d/2/2/22354kg_1.jpg,1 Unidad,50,9.1
